review_id,review_title,product_id
R1GHL3EYAQ4ZMT,It's really worth the money but,B094JNXNPV
R1M0NVGZXK8NGO,Better product in this budget,B094JNXNPV
R3O3MTC9L2VAJ5,Product review,B094JNXNPV
RS2B5ERC0SV1O,nice tv,B094JNXNPV
RY1GC09VYZQT8,Best product,B094JNXNPV
R29MVX7H69YMY5,Budget friendly TV,B094JNXNPV
R2M6TTXAWRQT5G,Ok cable,B094JNXNPV
R1Y30KU04V3QF4,three pin with hybrid wire,B09W5XR9RT
RK3DSUGKIZT8Z,Sturdy,B09W5XR9RT
R3BIG7J6V2JZTU,Nice,B09W5XR9RT
R1QI1HTJPGLS5O,Good.,B09W5XR9RT
R3SETXTOZ47CM4,So good,B09W5XR9RT
R10SL1Q7F6CHBK,CarPlay Not supported,B09W5XR9RT
R1CBYX6RCGU739,???? ???? ??,B09W5XR9RT
R3PGNXSPA35NB3,Very good product.,B09W5XR9RT
R1G4I5FLAHM16P,Using as a spare cable in car,B077Z65HSD
R1DXRMVWV2OVE8,Sturdy,B077Z65HSD
R2BJFG3I9TAZ2P, Durable,B077Z65HSD
R35RERUQG5AERU, Fast Charging!,B077Z65HSD
RQVMA35UH4D2P,Good brand,B077Z65HSD
R2WKO9Y6VGUOOP,It’s like original apple cable,B077Z65HSD
R1NECHJ8DC9INS,One of the best wire ..,B077Z65HSD
RDDDU5N0JHZS7,Super well build. Quality product worth the money,B077Z65HSD
R1C8MVU3EIX56Y,Good product,B00NH11PEY
R10RUXC7JD5S4I,Just buy it dont even 2nd guess it,B00NH11PEY
R1AFBZ5PYTHO1Z,Quality is good,B00NH11PEY
R3GQL7YKAFJMEN,Nylon braided quiet sturdy,B00NH11PEY
R3B6H5JPG134KN,Amazing,B00NH11PEY
RUG04XHXRXK95,Feels like steel harnessed wire - strong,B00NH11PEY
R2Q1OYOIJI5673,Sturdy and durable. Useful for charging Power Banks,B00NH11PEY
RJX2WGB0X99SY,good,B00NH11PEY
R223OIZPTZ994S,Nice quality,B09CMM3VGK
RATMJ847EPDQX,Nice,B09CMM3VGK
RHWJXUIB7QJY4,good,B09CMM3VGK
RKKX7CGMNCZLA,Paisa vassol,B09CMM3VGK
RL8AFQ3JO8B1N,Sturdy and long.,B09CMM3VGK
R152XS08W2OG38,Good for the price and great quality.,B09CMM3VGK
R2RS0DMJ29X2W6,Works as expected,B09CMM3VGK
RLLQ8T7VXWR65,Good,B09CMM3VGK
R2S0AYWUV349HP,Good,B08QSC1XY8
R35OW9CYQNAYHY,Good product,B08QSC1XY8
R3B3DDF1D5NULK,Good for charging,B08QSC1XY8
R3LZQDRMNS5CZO, bad for data transfer,B08QSC1XY8
RUGI31F4HDHOV,Wait  to get mexmum discount.,B08QSC1XY8
R24GFJRFT12S6S,The cable quality is best and charging pin is at right position to stand ????,B08QSC1XY8
R231AEG1IO02JM,So far super,B08QSC1XY8
RD31MI3UMAXP8,Good,B08QSC1XY8
R2Z9ENI1BK4EAB,Good but issues with design,B008FWZGSG
R2JTBG4GO7WPMG,Maine ?99 me liya hai offer me or ye worth hai.,B008FWZGSG
R3GKCN4UH999M8,Great Cable,B008FWZGSG
R3EGXE69JQH9AG, Charging Speeds Could Be Better,B008FWZGSG
RCX9JVSY2ISRL,Good,B008FWZGSG
R1UVGU3RQMOG49,A good cable.,B008FWZGSG
